"","","","","","","","","","","","","","","","","","","","","","",""
"","2016","1","2016-03","3","201610","10","42438","08","0815","BUITENLAND","BT_B_IB_2","1","0","0","1","1","7","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","BUITENLAND","BT_B_TSL_1","1","0","0","1","1","3","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","DOUANE","BT_D_OVERIG_1","5","0","0","5","5","38","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","GENERIEK","BT_G_ENGELS_1","3","0","0","3","3","24","0","","3","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","GENERIEK","BT_G_ERFETM_1","9","0","0","9","3","464","0","0","9","1","0.33333333333333"
"","2016","1","2016-03","3","201610","10","42438","08","0815","GENERIEK","BT_G_GELDZAKEN_1","11","0","0","11","11","99","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","GENERIEK","BT_G_INVOR_1","5","0","0","5","3","146","0","0","2","1","0.6"
"","2016","1","2016-03","3","201610","10","42438","08","0815","GENERIEK","BT_G_SCHEIDEN_1","4","0","0","4","4","21","0","0","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","GENERIEK (1 BRN)","BT_G_CAMP_1","6","0","2","4","0","1428","86","0","","0.66666666666667","0"
"","2016","1","2016-03","3","201610","10","42438","08","0815","GENERIEK (BEL ONS)","BT_G_BELONS_1","1","0","0","1","1","5","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","GENERIEK (EBV)","BT_G_EBV_1","27","0","1","26","26","188","0","0","","0.96296296296296","0.96296296296296"
"","2016","1","2016-03","3","201610","10","42438","08","0815","INTERMEDIAIRS","BT_HI_IB_1","18","0","0","18","15","379","0","0","","1","0.83333333333333"
"","2016","1","2016-03","3","201610","10","42438","08","0815","INTERMEDIAIRS","BT_HI_OVERIG_1","34","0","0","34","27","704","0","0","","1","0.79411764705882"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_EXPERTLIJN_1","1","0","0","1","0","73","0","","1","1","0"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_IB_1","42","0","0","42","19","1930","0","0","13","1","0.45238095238095"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_IB_2","5","0","0","5","3","149","0","","6","1","0.6"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_KTU_1","4","0","0","4","1","158","0","","4","1","0.25"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_LH_1","11","0","1","10","8","188","0","0","3","0.90909090909091","0.72727272727273"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_LH_2","2","0","0","2","2","21","0","","3","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_OB_1","32","0","0","32","30","298","0","0","3","1","0.9375"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_OB_2","3","0","0","3","3","33","0","","6","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","ONDERNEMINGEN","BT_O_OVERIG_1","20","0","0","20","20","122","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","PARTICULIEREN","BT_P_BEST_1","7","0","0","7","7","51","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","PARTICULIEREN","BT_P_BETA_1","61","0","1","60","59","596","14","0","7","0.98360655737705","0.9672131147541"
"","2016","1","2016-03","3","201610","10","42438","08","0815","PARTICULIEREN","BT_P_HUBA_1","30","0","1","29","29","220","0","0","16","0.96666666666667","0.96666666666667"
"","2016","1","2016-03","3","201610","10","42438","08","0815","PARTICULIEREN","BT_P_IB_1","226","0","0","226","214","2287","0","0","12","1","0.94690265486726"
