"","","","","","","","","","","","","","","","","","","","","","",""
"","2016","1","2016-03","3","201610","10","42438","11","1100","BUITENLAND","BT_B_TSL_1","1","0","0","1","1","5","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1100","DOUANE","BT_D_OVERIG_1","10","0","0","10","10","77","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK","BT_G_ENGELS_1","8","0","0","8","8","89","0","","7","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK","BT_G_ERFETM_1","25","0","0","25","14","776","0","0","16","1","0.56"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK","BT_G_GELDZAKEN_1","20","1","2","3","0","2174","769","15","","0.15","0"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK","BT_G_INVOR_1","22","0","0","22","6","1165","0","0","15","1","0.27272727272727"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK","BT_G_SCHEIDEN_1","17","0","2","15","4","1290","38","0","3","0.88235294117647","0.23529411764706"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK (1 BRN)","BT_G_CAMP_1","6","0","0","6","4","207","0","0","1","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK (BEL ONS)","BT_G_BELONS_1","1","0","0","1","0","58","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK (EBV)","BT_G_EBV_1","74","0","7","67","0","7690","429","0","","0.90540540540541","0"
"","2016","1","2016-03","3","201610","10","42438","11","1100","GENERIEK (OHV)","BT_G_OHVOND_1","1","0","0","1","0","459","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1100","INTERMEDIAIRS","BT_HI_IB_1","47","1","2","45","33","908","30","0","","0.95744680851064","0.71739130434783"
"","2016","1","2016-03","3","201610","10","42438","11","1100","INTERMEDIAIRS","BT_HI_OVERIG_1","108","0","4","104","75","2228","55","0","","0.96296296296296","0.69444444444444"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_EXPERTLIJN_1","8","0","0","8","2","444","0","","8","1","0.25"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_IB_1","82","1","15","60","5","19782","3462","7","22","0.73170731707317","0.061728395061728"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_IB_2","19","0","1","18","0","9487","160","","18","0.94736842105263","0"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_KTU_1","7","0","0","7","1","360","0","","6","1","0.14285714285714"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_LH_1","26","2","3","23","5","6625","330","0","8","0.88461538461538","0.20833333333333"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_LH_2","13","0","0","13","0","8243","0","","15","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_OB_1","102","1","12","82","11","28659","3382","8","10","0.80392156862745","0.10891089108911"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_OB_2","10","0","0","10","10","108","0","","11","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_OVERIG_1","72","1","13","43","1","17153","2757","16","1","0.59722222222222","0.014084507042254"
"","2016","1","2016-03","3","201610","10","42438","11","1100","ONDERNEMINGEN","BT_O_VPB_1","4","0","0","4","1","265","0","","4","1","0.25"
"","2016","1","2016-03","3","201610","10","42438","11","1100","PARTICULIEREN","BT_P_BEST_1","24","0","8","16","4","5214","1218","0","3","0.66666666666667","0.16666666666667"
"","2016","1","2016-03","3","201610","10","42438","11","1100","PARTICULIEREN","BT_P_BETA_1","107","0","1","90","22","29694","2015","16","16","0.8411214953271","0.20560747663551"
"","2016","1","2016-03","3","201610","10","42438","11","1100","PARTICULIEREN","BT_P_HUBA_1","86","0","1","85","22","7648","32","0","19","0.98837209302326","0.25581395348837"
"","2016","1","2016-03","3","201610","10","42438","11","1100","PARTICULIEREN","BT_P_IB_1","718","2","97","428","22","176019","21615","193","20","0.59610027855153","0.03072625698324"
"","2016","1","2016-03","3","201610","10","42438","11","1100","PARTICULIEREN","BT_P_IB_2","64","0","0","64","55","1179","0","","65","1","0.859375"
"","2016","1","2016-03","3","201610","10","42438","11","1100","PARTICULIEREN","BT_P_OLDV_1","6","0","0","6","1","281","0","","8","1","0.16666666666667"
"","2016","1","2016-03","3","201610","10","42438","11","1100","TOESLAGEN","BT_T_BETA_1","138","0","17","85","4","31650","4647","36","4","0.61594202898551","0.028985507246377"
"","2016","1","2016-03","3","201610","10","42438","11","1100","TOESLAGEN","BT_T_BETA_2","10","0","0","10","10","64","0","","11","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1100","TOESLAGEN","BT_T_GRIP_1","1","0","0","1","1","12","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1100","TOESLAGEN","BT_T_TOESLAGEN_1","237","2","19","155","12","56126","3318","63","13","0.65400843881857","0.051063829787234"
"","2016","1","2016-03","3","201610","10","42438","11","1100","TOESLAGEN","BT_T_VERMOGEN_1","1","0","0","1","1","12","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1100","TOESLAGEN","BT_T_WKO_1","1","0","0","1","1","12","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1115","AUTO","BT_A_AUTO_1","107","0","1","106","106","641","0","0","8","0.99065420560748","0.99065420560748"
"","2016","1","2016-03","3","201610","10","42438","11","1115","AUTO","BT_A_BPM_1","7","1","1","6","6","25","0","0","","0.85714285714286","1"
"","2016","1","2016-03","3","201610","10","42438","11","1115","AUTO","BT_A_VRACHT_1","3","0","0","3","3","11","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1115","BO_TOESLAGEN","TT_BO_TOESL_2","11","0","1","10","0","6224","106","","8","0.90909090909091","0"
"","2016","1","2016-03","3","201610","10","42438","11","1115","BO_TOESLAGEN","TT_T_HUZO_1","5","1","0","0","0","0","43","5","","0","0"
"","2016","1","2016-03","3","201610","10","42438","11","1115","BUITENLAND","BT_B_BUIT_1","105","3","17","88","6","12397","781","0","7","0.83809523809524","0.058823529411765"
"","2016","1","2016-03","3","201610","10","42438","11","1115","BUITENLAND","BT_B_IB_2","1","0","0","1","0","34","0","","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1115","BUITENLAND","BT_B_TSL_1","3","0","0","3","2","70","0","","4","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","11","1115","DOUANE","BT_D_OVERIG_1","9","0","0","9","9","75","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK","BT_G_ENGELS_1","7","0","0","7","7","79","0","","7","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK","BT_G_ERFETM_1","24","0","0","24","16","686","0","0","14","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK","BT_G_GELDZAKEN_1","24","0","1","17","2","4289","52","6","","0.70833333333333","0.083333333333333"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK","BT_G_INVOR_1","16","0","0","16","7","809","0","0","8","1","0.4375"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK","BT_G_SCHEIDEN_1","14","0","0","14","6","742","0","0","6","1","0.42857142857143"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK (1 BRN)","BT_G_CAMP_1","6","0","0","6","1","553","0","0","","1","0.16666666666667"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK (BEL ONS)","BT_G_BELONS_1","2","0","0","2","0","317","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK (EBV)","BT_G_EBV_1","82","1","10","72","0","16501","612","0","","0.8780487804878","0"
"","2016","1","2016-03","3","201610","10","42438","11","1115","GENERIEK (OHV)","BT_G_OHVAUTO_1","3","0","0","3","3","23","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1115","INTERMEDIAIRS","BT_HI_IB_1","63","1","1","62","59","1041","1","0","","0.98412698412698","0.95161290322581"
"","2016","1","2016-03","3","201610","10","42438","11","1115","INTERMEDIAIRS","BT_HI_OVERIG_1","86","0","1","85","78","1403","6","0","","0.98837209302326","0.90697674418605"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_EXPERTLIJN_1","6","0","0","6","2","304","0","","5","1","0.33333333333333"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_IB_1","84","0","18","63","16","18202","1884","3","29","0.75","0.19047619047619"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_IB_2","19","0","0","19","0","10663","0","","17","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_KTU_1","9","0","0","9","7","225","0","","8","1","0.77777777777778"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_LH_1","33","1","6","21","3","5358","769","6","3","0.63636363636364","0.09375"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_LH_2","8","0","1","7","0","4066","265","","6","0.875","0"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_OB_1","107","1","16","87","8","25275","2451","4","9","0.81308411214953","0.075471698113208"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_OB_2","24","0","1","23","11","991","26","","22","0.95833333333333","0.45833333333333"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_OVERIG_1","73","2","10","51","3","16117","2104","12","2","0.6986301369863","0.042253521126761"
"","2016","1","2016-03","3","201610","10","42438","11","1115","ONDERNEMINGEN","BT_O_VPB_1","2","0","0","2","0","117","0","","2","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1115","PARTICULIEREN","BT_P_BEST_1","30","0","7","19","4","6050","874","4","5","0.63333333333333","0.13333333333333"
"","2016","1","2016-03","3","201610","10","42438","11","1115","PARTICULIEREN","BT_P_BETA_1","115","0","9","105","29","29816","2598","1","27","0.91304347826087","0.25217391304348"
"","2016","1","2016-03","3","201610","10","42438","11","1115","PARTICULIEREN","BT_P_HUBA_1","93","0","3","90","15","16897","333","0","16","0.96774193548387","0.16129032258065"
"","2016","1","2016-03","3","201610","10","42438","11","1115","PARTICULIEREN","BT_P_IB_1","744","3","125","602","27","225375","23495","17","26","0.80913978494624","0.036437246963563"
"","2016","1","2016-03","3","201610","10","42438","11","1115","PARTICULIEREN","BT_P_IB_2","72","0","1","71","46","2121","0","","70","0.98611111111111","0.63888888888889"
"","2016","1","2016-03","3","201610","10","42438","11","1115","PARTICULIEREN","BT_P_OLDV_1","7","0","0","7","5","239","0","","10","1","0.71428571428571"
"","2016","1","2016-03","3","201610","10","42438","11","1115","TOESLAGEN","BT_T_BETA_1","127","0","16","104","1","39328","2546","7","3","0.81889763779528","0.0078740157480315"
"","2016","1","2016-03","3","201610","10","42438","11","1115","TOESLAGEN","BT_T_BETA_2","14","0","0","14","14","142","0","","10","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1115","TOESLAGEN","BT_T_GRIP_1","4","0","0","4","2","110","0","","2","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","11","1115","TOESLAGEN","BT_T_TOESLAGEN_1","245","1","44","201","21","67279","8008","0","16","0.82040816326531","0.086065573770492"
"","2016","1","2016-03","3","201610","10","42438","11","1115","TOESLAGEN","BT_T_WKO_1","1","0","0","1","1","2","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1130","AUTO","BT_A_AUTO_1","105","0","2","103","101","863","9","0","13","0.98095238095238","0.96190476190476"
"","2016","1","2016-03","3","201610","10","42438","11","1130","AUTO","BT_A_BPM_1","3","0","0","3","3","42","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1130","AUTO","BT_A_VRACHT_1","1","0","0","1","1","8","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1130","BO_TOESLAGEN","TT_BO_TOESL_2","7","0","0","7","0","2245","0","","10","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1130","BO_TOESLAGEN","TT_S_FRAUDE","2","0","0","2","0","170","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1130","BO_TOESLAGEN","TT_T_HUZO_1","4","0","2","1","0","441","62","1","","0.25","0"
"","2016","1","2016-03","3","201610","10","42438","11","1130","BUITENLAND","BT_B_BUIT_1","79","1","7","72","47","2535","294","0","11","0.91139240506329","0.6025641025641"
"","2016","1","2016-03","3","201610","10","42438","11","1130","BUITENLAND","BT_B_IB_2","3","0","0","3","2","97","0","","3","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","11","1130","BUITENLAND","BT_B_TSL_1","5","0","1","4","4","44","0","","2","0.8","0.8"
"","2016","1","2016-03","3","201610","10","42438","11","1130","DOUANE","BT_D_OVERIG_1","11","0","0","11","11","90","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK","BT_G_ENGELS_1","10","0","0","10","9","169","0","","11","1","0.9"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK","BT_G_ERFETM_1","22","0","0","22","14","572","0","0","23","1","0.63636363636364"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK","BT_G_GELDZAKEN_1","21","0","-1","19","1","4762","24","3","","0.9047619047619","0.047619047619048"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK","BT_G_INVOR_1","17","0","1","16","7","864","50","0","10","0.94117647058824","0.41176470588235"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK","BT_G_SCHEIDEN_1","15","0","1","14","6","1009","0","0","5","0.93333333333333","0.4"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK","BT_S_MELDINGEN","1","0","0","1","0","40","0","","1","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK (1 BRN)","BT_G_CAMP_1","3","1","2","1","1","10","45","0","","0.33333333333333","0.5"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK (BEL ONS)","BT_G_BELONS_1","1","0","0","1","0","44","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK (EBV)","BT_G_EBV_1","71","0","2","69","25","4698","43","0","","0.97183098591549","0.35211267605634"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK (OHV)","BT_G_OHVAUTO_1","1","0","0","1","1","6","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1130","GENERIEK (OHV)","BT_G_OHVTOE_1","1","0","0","1","0","348","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1130","INTERMEDIAIRS","BT_HI_IB_1","67","0","1","66","49","1501","8","0","","0.98507462686567","0.73134328358209"
"","2016","1","2016-03","3","201610","10","42438","11","1130","INTERMEDIAIRS","BT_HI_OVERIG_1","87","0","0","87","68","1822","0","0","","1","0.7816091954023"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_EXPERTLIJN_1","8","0","0","8","3","441","0","","9","1","0.375"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_IB_1","88","0","11","77","19","19579","2849","0","43","0.875","0.21590909090909"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_IB_2","23","0","1","22","0","9996","454","","22","0.95652173913043","0"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_KTU_1","5","0","0","5","1","506","0","","4","1","0.2"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_LH_1","26","0","4","22","3","5595","989","0","5","0.84615384615385","0.11538461538462"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_LH_2","10","0","0","10","0","3364","0","","10","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_OB_1","102","2","14","88","12","22560","1211","0","10","0.86274509803922","0.12"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_OB_2","9","0","0","9","8","98","0","","8","1","0.88888888888889"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_OVERIG_1","53","2","14","39","3","11203","1877","0","3","0.73584905660377","0.058823529411765"
"","2016","1","2016-03","3","201610","10","42438","11","1130","ONDERNEMINGEN","BT_O_VPB_1","2","0","0","2","1","86","0","","2","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","11","1130","PARTICULIEREN","BT_P_BEST_1","36","1","11","25","3","8075","1820","0","2","0.69444444444444","0.085714285714286"
"","2016","1","2016-03","3","201610","10","42438","11","1130","PARTICULIEREN","BT_P_BETA_1","114","0","13","101","33","26317","3013","0","35","0.8859649122807","0.28947368421053"
"","2016","1","2016-03","3","201610","10","42438","11","1130","PARTICULIEREN","BT_P_HUBA_1","87","0","2","85","32","5446","45","0","15","0.97701149425287","0.36781609195402"
"","2016","1","2016-03","3","201610","10","42438","11","1130","PARTICULIEREN","BT_P_IB_1","765","5","124","599","22","218671","22192","42","32","0.78300653594771","0.028947368421053"
"","2016","1","2016-03","3","201610","10","42438","11","1130","PARTICULIEREN","BT_P_IB_2","87","0","0","87","66","1842","0","","89","1","0.75862068965517"
"","2016","1","2016-03","3","201610","10","42438","11","1130","PARTICULIEREN","BT_P_OLDV_1","16","0","0","16","4","1190","0","","14","1","0.25"
"","2016","1","2016-03","3","201610","10","42438","11","1130","TOESLAGEN","BT_T_BETA_1","108","0","21","75","6","25810","3814","12","9","0.69444444444444","0.055555555555556"
"","2016","1","2016-03","3","201610","10","42438","11","1130","TOESLAGEN","BT_T_BETA_2","11","0","0","11","11","106","0","","14","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1130","TOESLAGEN","BT_T_TOESLAGEN_1","269","6","49","217","12","75527","7327","3","17","0.80669144981413","0.045627376425856"
"","2016","1","2016-03","3","201610","10","42438","11","1130","TOESLAGEN","BT_T_VERMOGEN_1","1","0","0","1","1","11","0","","4","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1130","TOESLAGEN","BT_T_WKO_1","1","0","0","1","1","5","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","AUTO","BT_A_AUTO_1","106","0","3","103","82","2799","276","0","9","0.97169811320755","0.77358490566038"
"","2016","1","2016-03","3","201610","10","42438","11","1145","AUTO","BT_A_BPM_1","12","0","0","12","8","447","0","0","1","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","11","1145","AUTO","BT_A_HSB_1","1","0","0","1","1","9","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","AUTO","BT_A_VRACHT_1","1","0","0","1","1","10","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","BO_TOESLAGEN","TT_BO_TOESL_2","10","0","0","10","3","1012","0","","13","1","0.3"
"","2016","1","2016-03","3","201610","10","42438","11","1145","BO_TOESLAGEN","TT_T_HUZO_1","4","0","1","3","0","296","5","0","","0.75","0"
"","2016","1","2016-03","3","201610","10","42438","11","1145","BUITENLAND","BT_B_BUIT_1","82","1","7","75","75","584","0","0","5","0.91463414634146","0.92592592592593"
"","2016","1","2016-03","3","201610","10","42438","11","1145","BUITENLAND","BT_B_IB_2","1","0","0","1","1","12","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","BUITENLAND","BT_B_OND_1","2","0","0","2","2","17","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","BUITENLAND","BT_B_TSL_1","2","0","0","2","2","17","0","","3","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","DOUANE","BT_D_OVERIG_1","11","0","0","11","11","79","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK","BT_G_ENGELS_1","3","0","0","3","3","27","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK","BT_G_ERFETM_1","18","0","0","18","9","563","0","0","11","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK","BT_G_GELDZAKEN_1","27","0","3","24","0","5834","507","0","","0.88888888888889","0"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK","BT_G_INVOR_1","14","0","0","14","4","1115","0","0","10","1","0.28571428571429"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK","BT_G_SCHEIDEN_1","12","0","0","12","6","880","0","0","5","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK (1 BRN)","BT_G_CAMP_1","2","0","0","2","1","68","0","0","1","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK (BEL ONS)","BT_G_BELONS_1","1","0","0","1","0","48","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK (EBV)","BT_G_EBV_1","52","0","0","52","52","279","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK (OHV)","BT_G_OHVOND_1","1","0","0","1","0","527","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1145","GENERIEK (OHV)","BT_G_OHVTOE_1","1","0","0","1","0","446","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1145","INTERMEDIAIRS","BT_HI_IB_1","66","0","1","65","61","1183","0","0","","0.98484848484848","0.92424242424242"
"","2016","1","2016-03","3","201610","10","42438","11","1145","INTERMEDIAIRS","BT_HI_OVERIG_1","101","0","1","100","68","2526","0","0","","0.99009900990099","0.67326732673267"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_EXPERTLIJN_1","9","0","0","9","4","580","0","","9","1","0.44444444444444"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_IB_1","75","2","17","58","3","13539","3188","0","32","0.77333333333333","0.041095890410959"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_IB_2","19","0","1","18","0","12686","622","","17","0.94736842105263","0"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_KTU_1","9","0","0","9","1","1359","0","","14","1","0.11111111111111"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_LH_1","26","0","6","20","2","7392","2254","0","4","0.76923076923077","0.076923076923077"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_LH_2","9","0","0","9","0","2595","0","","7","1","0"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_OB_1","118","3","19","99","13","37367","4309","0","16","0.83898305084746","0.11304347826087"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_OB_2","9","0","0","9","9","90","0","","9","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_OVERIG_1","62","0","18","44","5","18290","3720","0","6","0.70967741935484","0.080645161290323"
"","2016","1","2016-03","3","201610","10","42438","11","1145","ONDERNEMINGEN","BT_O_VPB_1","2","0","1","1","0","99","527","","2","0.5","0"
"","2016","1","2016-03","3","201610","10","42438","11","1145","PARTICULIEREN","BT_P_BEST_1","35","2","15","20","4","6532","2350","0","4","0.57142857142857","0.12121212121212"
"","2016","1","2016-03","3","201610","10","42438","11","1145","PARTICULIEREN","BT_P_BETA_1","95","0","11","84","20","25446","2889","0","18","0.88421052631579","0.21052631578947"
"","2016","1","2016-03","3","201610","10","42438","11","1145","PARTICULIEREN","BT_P_HUBA_1","74","0","1","73","73","503","0","0","18","0.98648648648649","0.98648648648649"
"","2016","1","2016-03","3","201610","10","42438","11","1145","PARTICULIEREN","BT_P_IB_1","692","9","110","492","39","183699","23585","90","33","0.71098265895954","0.05710102489019"
"","2016","1","2016-03","3","201610","10","42438","11","1145","PARTICULIEREN","BT_P_IB_2","84","1","2","82","68","1747","2","","76","0.97619047619048","0.81927710843373"
"","2016","1","2016-03","3","201610","10","42438","11","1145","PARTICULIEREN","BT_P_OLDV_1","8","0","1","7","5","298","80","","7","0.875","0.625"
"","2016","1","2016-03","3","201610","10","42438","11","1145","TOESLAGEN","BT_T_BETA_1","103","0","7","87","11","30596","2781","9","5","0.84466019417476","0.10679611650485"
"","2016","1","2016-03","3","201610","10","42438","11","1145","TOESLAGEN","BT_T_BETA_2","9","0","0","9","9","81","0","","8","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","TOESLAGEN","BT_T_GRIP_1","4","0","0","4","2","120","0","","6","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","11","1145","TOESLAGEN","BT_T_TOESLAGEN_1","241","1","30","186","17","67583","7119","25","11","0.77178423236515","0.070833333333333"
"","2016","1","2016-03","3","201610","10","42438","11","1145","TOESLAGEN","BT_T_VERMOGEN_1","5","0","0","5","5","55","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","11","1145","TOESLAGEN","BT_T_WKO_1","1","0","0","1","1","12","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","12","1200","AUTO","BT_A_AUTO_1","106","0","5","101","11","14247","419","0","17","0.95283018867925","0.10377358490566"
"","2016","1","2016-03","3","201610","10","42438","12","1200","AUTO","BT_A_BPM_1","14","0","5","9","0","1449","355","0","1","0.64285714285714","0"
"","2016","1","2016-03","3","201610","10","42438","12","1200","AUTO","BT_A_VRACHT_1","2","0","0","2","2","28","0","0","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","12","1200","BO_TOESLAGEN","TT_BO_TOESL_2","17","0","0","17","13","332","0","","19","1","0.76470588235294"
"","2016","1","2016-03","3","201610","10","42438","12","1200","BO_TOESLAGEN","TT_S_FRAUDE","1","0","0","1","1","22","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","12","1200","BO_TOESLAGEN","TT_T_HUZO_1","3","0","0","3","1","189","0","0","","1","0.33333333333333"
"","2016","1","2016-03","3","201610","10","42438","12","1200","BUITENLAND","BT_B_BUIT_1","77","0","4","73","73","516","0","0","4","0.94805194805195","0.94805194805195"
"","2016","1","2016-03","3","201610","10","42438","12","1200","BUITENLAND","BT_B_IB_2","2","0","0","2","2","16","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","12","1200","BUITENLAND","BT_B_OND_1","2","0","0","2","2","23","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","12","1200","BUITENLAND","BT_B_TSL_1","4","0","0","4","4","38","0","","3","1","1"
"","2016","1","2016-03","3","201610","10","42438","12","1200","DOUANE","BT_D_OVERIG_1","6","0","0","6","6","51","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","12","1200","GENERIEK","BT_G_ENGELS_1","5","0","0","5","5","32","0","","6","1","1"
"","2016","1","2016-03","3","201610","10","42438","12","1200","GENERIEK","BT_G_ERFETM_1","15","0","0","15","9","596","0","0","6","1","0.6"
"","2016","1","2016-03","3","201610","10","42438","12","1200","GENERIEK","BT_G_GELDZAKEN_1","28","2","3","25","0","3992","91","0","","0.89285714285714","0"
"","2016","1","2016-03","3","201610","10","42438","12","1200","GENERIEK","BT_G_INVOR_1","21","0","0","21","15","531","0","0","15","1","0.71428571428571"
